Origen,Destino,Valor
Albacete, Alicante/Alacant,230
Albacete, Almería,32
Albacete, Araba/Álava,5
Albacete, Asturias,5
Albacete, Ávila,6
Albacete, Badajoz,8
Albacete," Balears, Illes",47
Albacete, Barcelona,73
Albacete, Bizkaia,15
Albacete, Burgos,5
Albacete, Cáceres,16
Albacete, Cádiz,13
Albacete, Cantabria,4
Albacete, Castellón/Castelló,27
Albacete, Ciudad Real,119
Albacete, Córdoba,24
Albacete," Coruña, A",11
Albacete, Cuenca,167
Albacete, Gipuzkoa,9
Albacete, Girona,9
Albacete, Granada,15
Albacete, Guadalajara,16
Albacete, Huelva,14
Albacete, Huesca, 
Albacete, Jaén,42
Albacete, León,5
Albacete, Lleida,6
Albacete, Lugo, 
Albacete, Madrid,166
Albacete, Málaga,21
Albacete, Murcia,194
Albacete, Navarra,7
Albacete, Ourense,3
Albacete, Palencia,2
Albacete," Palmas, Las",16
Albacete, Pontevedra,6
Albacete," Rioja, La",6
Albacete, Salamanca,4
Albacete, Santa Cruz de Tenerife,13
Albacete, Segovia,5
Albacete, Sevilla,26
Albacete, Soria,6
Albacete, Tarragona,17
Albacete, Teruel,7
Albacete, Toledo,53
Albacete, Valencia/València,214
Albacete, Valladolid,5
Albacete, Zamora,4
Albacete, Zaragoza,19
Albacete, Ceuta,1
Albacete, Melilla,1
Alicante/Alacant, Albacete,331
Alicante/Alacant, Alicante/Alacant, 
Alicante/Alacant, Almería,205
Alicante/Alacant, Araba/Álava,60
Alicante/Alacant, Asturias,121
Alicante/Alacant, Ávila,30
Alicante/Alacant, Badajoz,63
Alicante/Alacant," Balears, Illes",303
Alicante/Alacant, Barcelona,594
Alicante/Alacant, Bizkaia,92
Alicante/Alacant, Burgos,42
Alicante/Alacant, Cáceres,53
Alicante/Alacant, Cádiz,93
Alicante/Alacant, Cantabria,65
Alicante/Alacant, Castellón/Castelló,145
Alicante/Alacant, Ciudad Real,167
Alicante/Alacant, Córdoba,96
Alicante/Alacant," Coruña, A",72
Alicante/Alacant, Cuenca,65
Alicante/Alacant, Gipuzkoa,76
Alicante/Alacant, Girona,97
Alicante/Alacant, Granada,182
Alicante/Alacant, Guadalajara,55
Alicante/Alacant, Huelva,29
Alicante/Alacant, Huesca,23
Alicante/Alacant, Jaén,170
Alicante/Alacant, León,71
Alicante/Alacant, Lleida,56
Alicante/Alacant, Lugo,23
Alicante/Alacant, Madrid,1519
Alicante/Alacant, Málaga,230
Alicante/Alacant, Murcia,1357
Alicante/Alacant, Navarra,83
Alicante/Alacant, Ourense,33
Alicante/Alacant, Palencia,23
Alicante/Alacant," Palmas, Las",129
Alicante/Alacant, Pontevedra,54
Alicante/Alacant," Rioja, La",38
Alicante/Alacant, Salamanca,51
Alicante/Alacant, Santa Cruz de Tenerife,138
Alicante/Alacant, Segovia,15
Alicante/Alacant, Sevilla,172
Alicante/Alacant, Soria,12
Alicante/Alacant, Tarragona,119
Alicante/Alacant, Teruel,18
Alicante/Alacant, Toledo,164
Alicante/Alacant, Valencia/València,1241
Alicante/Alacant, Valladolid,84
Alicante/Alacant, Zamora,18
Alicante/Alacant, Zaragoza,104
Alicante/Alacant, Ceuta,9
Alicante/Alacant, Melilla,45
Asturias, Albacete,4
Asturias, Alicante/Alacant,93
Asturias, Almería,14
Asturias, Araba/Álava,22
Asturias, Asturias, 
Asturias, Ávila,14
Asturias, Badajoz,27
Asturias," Balears, Illes",112
Asturias, Barcelona,181
Asturias, Bizkaia,77
Asturias, Burgos,42
Asturias, Cáceres,28
Asturias, Cádiz,35
Asturias, Cantabria,155
Asturias, Castellón/Castelló,22
Asturias, Ciudad Real,29
Asturias, Córdoba,14
Asturias," Coruña, A",98
Asturias, Cuenca,4
Asturias, Gipuzkoa,41
Asturias, Girona,32
Asturias, Granada,24
Asturias, Guadalajara,22
Asturias, Huelva,9
Asturias, Huesca,14
Asturias, Jaén,13
Asturias, León,250
Asturias, Lleida,11
Asturias, Lugo,143
Asturias, Madrid,539
Asturias, Málaga,66
Asturias, Murcia,47
Asturias, Navarra,36
Asturias, Ourense,26
Asturias, Palencia,17
Asturias," Palmas, Las",77
Asturias, Pontevedra,60
Asturias," Rioja, La",32
Asturias, Salamanca,39
Asturias, Santa Cruz de Tenerife,73
Asturias, Segovia,15
Asturias, Sevilla,58
Asturias, Soria,3
Asturias, Tarragona,28
Asturias, Teruel,17
Asturias, Toledo,52
Asturias, Valencia/València,73
Asturias, Valladolid,57
Asturias, Zamora,37
Asturias, Zaragoza,26
Asturias, Ceuta,5
Asturias, Melilla,7
Ávila, Albacete,3
Ávila, Alicante/Alacant,16
Ávila, Almería,6
Ávila, Araba/Álava,3
Ávila, Asturias,8
Ávila, Ávila, 
Ávila, Badajoz,7
Ávila," Balears, Illes",7
Ávila, Barcelona,30
Ávila, Bizkaia,2
Ávila, Burgos,12
Ávila, Cáceres,27
Ávila, Cádiz,11
Ávila, Cantabria,2
Ávila, Castellón/Castelló, 
Ávila, Ciudad Real,4
Ávila, Córdoba,6
Ávila," Coruña, A",4
Ávila, Cuenca,1
